room_id,event_id,sender,timestamp,body,responded_by
!OBacxAuPnRsRfxSrnF:localhost,$gIpnXOJi6mATxHKP4nSOGc8BpMHv0WFZ6BMyzpMv8bg,@evan:localhost,1736648174066,Hi @luna!,
!OBacxAuPnRsRfxSrnF:localhost,$bZz7xQyRpuvb7NneH1KIUEhAzKKV-xOOZYB8nPA7QMc,@evan:localhost,1736649041452,jknsdf,
!OBacxAuPnRsRfxSrnF:localhost,$sWRJsaJZxUnH6yc6v-ViA0BWb1cu2XvacGJvveadXok,@evan:localhost,1736649042651,kjnsdflk,
!OBacxAuPnRsRfxSrnF:localhost,$cxgdM3kkP6We0PeInf5PyerQLKcA4NVFo9-PHMavmzs,@evan:localhost,1736649044461,New message,
!OBacxAuPnRsRfxSrnF:localhost,$V49kDXswctNMIXnrNo6u3LAYpE8wR1dgPrd8V3Qo0Eo,@evan:localhost,1736649048302,New message here!!,
!OBacxAuPnRsRfxSrnF:localhost,$GZgvjkOfWtK65LaApqazhGylX_FSr5tM38lLq43tOmk,@evan:localhost,1736649269201,what about channel messages?!?!,
!OBacxAuPnRsRfxSrnF:localhost,$zRN5b0sZYtF20M1cwAGw_Ekmc6tz-230NwDruBV1aEw,@evan:localhost,1736649466639,"I have a new message for you Luna, 937pm",
!OBacxAuPnRsRfxSrnF:localhost,$o2sYGGwO91Lclhtz1NZ45LsSiEkMjJGNJDR6BydODsA,@evan:localhost,1736686498624,Luna?,
!XBwtDVQGRLVcaKcUbm:localhost,$gKwWI7CKxm4rwBZwP-4Rt53J_qOTtW2FWMCISKwrJe8,@evan:localhost,1736686487051,luna?,
!XBwtDVQGRLVcaKcUbm:localhost,$rt6Mqt-SSeR_EWY-nu4JGuqxq4dupxDOu8X0l4BiBHE,@wild_horse:localhost,1736722757659,Hello! I'm 'wild_horse'. You said: Hello lunabot ...,
!AdQHUmAdpfqWIWULNM:localhost,$_W862haG04YOPcx7lThtubJ3e99qS7FLFhrL15Bz6IA,@evan:localhost,1736656544329,clownsavior: areyou here too?,
!AdQHUmAdpfqWIWULNM:localhost,$-HwTtehxpxjx728rwX_ovogZ11ElbwrfkhT9jYxWkTE,@evan:localhost,1736656621853,lunabot: what's up,
!XBwtDVQGRLVcaKcUbm:localhost,$DvsxNAmqUUD1ouQKE6EtNzZY_rtYYvWnniMX1dIlYkg,@lunabot:localhost,1736653710161,Hello! How can I assist you today?,
!XBwtDVQGRLVcaKcUbm:localhost,$C3w5uDvqF_0XWlE_C6CT7XFCxoPhUyxUssNAbNIa1Q4,@lunabot:localhost,1736653747269,Hello! How can I assist you today?,
!XBwtDVQGRLVcaKcUbm:localhost,$OnTOndZ1xIhnQZmM7OaxjFAGMWZ34fRHCbRfHtzeNC0,@lunabot:localhost,1736655505606,Hello! How can I assist you today?,
!kzXdTMnUUelFEFHQIX:localhost,$9SZ-fxB5GPxe42G6bBXbz-C9bZejKPwSTPulkL5RWpU,@evan:localhost,1736727488926,lunabot: you son of a bitch,
!kzXdTMnUUelFEFHQIX:localhost,$CgXxah3w8C2StJsTi2sY6v1QwpuqQDJmPuaVc9_Yxes,@lunabot:localhost,1736727488944,Hello from 'lunabot' in a group chat! You mentioned me. I see your message: 'lunabot: you son of a bitch...',
!kzXdTMnUUelFEFHQIX:localhost,$2OaP0NhdKW-2eJrxG0h0JUH1WoeoArNkZR1KFhj2zp4,@evan:localhost,1736727656571,hi there,
!kzXdTMnUUelFEFHQIX:localhost,$APUz_jXGguZuiNHPhht0bGaxBA0VPbqo-FRINHAYgZE,@lunabot:localhost,1736727658077,Hello from 'lunabot' in a group chat! You mentioned me. I see your message: 'lunabot: you son of a bitch...',
!kzXdTMnUUelFEFHQIX:localhost,$LKztiHlyznOndUrfnqi-YEYRFgh7O1RoSGjcpWfir4Y,@evan:localhost,1736727666477,hello,
!kzXdTMnUUelFEFHQIX:localhost,$f127j16963kuZOa4l5qOyZXvCvhNQVrWlbZodC3PxyU,@lunabot:localhost,1736727745941,Hello from 'lunabot' in a group chat! You mentioned me. I see your message: 'lunabot: you son of a bitch...',
!kzXdTMnUUelFEFHQIX:localhost,$QCz--AhFlRsAf1aDwcftN7spMH9iryc6FI7oStzpEG4,@lunabot:localhost,1736727939488,Hello from 'lunabot' in a group chat! You mentioned me. I see your message: 'lunabot: you son of a bitch...',
!AdQHUmAdpfqWIWULNM:localhost,$cMrNZWfUEiWgmODoQTRl_mI08aZJOiboG0xz5yXbgGk,@evan:localhost,1736656627673,luna,
!AdQHUmAdpfqWIWULNM:localhost,$Uz47IiCa86W5NSi28Rqo6JnyQKt_NCP4vbGS1QtH7_I,@evan:localhost,1736723326210,@luna,
!AdQHUmAdpfqWIWULNM:localhost,$GCS_KATOTaMrmw_JkbMEnMYM1sQgiEvo6hLMHTs5EwI,@lunabot:localhost,1736727477726,Hello from 'lunabot' in a group chat! You mentioned me. I see your message: 'lunabot: are you here? what's your realname?...',
!AdQHUmAdpfqWIWULNM:localhost,$7qwpB0Wn0gcxDtTNGjbqX-khEyB5CX-bJFIxXrZBHrw,@lunabot:localhost,1736727477758,Hello from 'lunabot' in a group chat! You mentioned me. I see your message: 'lunabot: what's up...',
!AdQHUmAdpfqWIWULNM:localhost,$p0XUGUTNer9DweIDDnd2wcAfm_9KFJWfZKB3oZcAwxY,@lunabot:localhost,1736727657997,Hello from 'lunabot' in a group chat! You mentioned me. I see your message: 'lunabot: are you here? what's your realname?...',
!AdQHUmAdpfqWIWULNM:localhost,$lrErg31AJUhPcX69IfnbW4_KjA-V_l60sVB0JoNKqzQ,@lunabot:localhost,1736727658030,Hello from 'lunabot' in a group chat! You mentioned me. I see your message: 'lunabot: what's up...',
!AdQHUmAdpfqWIWULNM:localhost,$sd81Vflytp7aLV2eVe5yotSseZdfngmMSF86ZBVz2rw,@lunabot:localhost,1736727745851,Hello from 'lunabot' in a group chat! You mentioned me. I see your message: 'lunabot: are you here? what's your realname?...',
!AdQHUmAdpfqWIWULNM:localhost,$CPC3iQWFrKZlfwgJh079kDBuD6lM2ydNvKJqPwrlRw0,@lunabot:localhost,1736727745892,Hello from 'lunabot' in a group chat! You mentioned me. I see your message: 'lunabot: what's up...',
!AdQHUmAdpfqWIWULNM:localhost,$wcn0GmPavgoekBrVrjCRDPfa3yLt9mN0XcV-7tCmlsU,@lunabot:localhost,1736727939472,Hello from 'lunabot' in a group chat! You mentioned me. I see your message: 'lunabot: what's up...',
!AdQHUmAdpfqWIWULNM:localhost,$ovK3G3jEWlzcN-HMOv-ZsBhABNF040qI1Qz7CIMaNNg,@lunabot:localhost,1736728033026,Hello from 'lunabot' in a group chat! I see you mentioned me: 'lunabot: what's up...',
!kzXdTMnUUelFEFHQIX:localhost,$YR8hFtgifzE4tHHKaCpc92geRzQZhunNDjEi-UfZZPQ,@wild_horse:localhost,1736727477782,Hello from 'wild_horse' in a group chat! You mentioned me. I see your message: 'wild_horse you are wild wild wild...',
!kzXdTMnUUelFEFHQIX:localhost,$Chklp_a0oTQziJ49zakMw6J3uCmACNsXhFOFhFv9tIc,@wild_horse:localhost,1736727477833,Hello from 'wild_horse' in a group chat! You mentioned me. I see your message: '@wild_horses are wild!!! wild_horse ...',
!kzXdTMnUUelFEFHQIX:localhost,$CRYxiMIONRHvWsjNEhE0aCItdlmA2nO25ZT9aeg3rso,@wild_horse:localhost,1736727657978,Hello from 'wild_horse' in a group chat! You mentioned me. I see your message: 'wild_horse you are wild wild wild...',
!kzXdTMnUUelFEFHQIX:localhost,$HhgebtSzqeKbcgCflWQvdOybby0dINZe1yKkiaqWNbM,@wild_horse:localhost,1736727657998,Hello from 'wild_horse' in a group chat! You mentioned me. I see your message: '@wild_horses are wild!!! wild_horse ...',
!wksSOEXmjceGUTMkdv:localhost,$Pg0S_dXu1WS6iNeQA-2Sh7V5cauUGpbJvtH98q6pUUQ,@evan:localhost,1736725221087,stfu,
!wksSOEXmjceGUTMkdv:localhost,$pg4s7-ZR9dCZPG7whyM5YFdVexoZcAGja1-CZVWg_o4,@lunabot:localhost,1736728033055,Hi from 'lunabot' (DM). You said: 'stfu...',
!GdZPFSkNndJpkFvaIZ:localhost,$HgnT3GJok44Gfpc_cyYwFo9C6P6AhSyFRneUD1MdTpQ,@evan:localhost,1736729164400,hello,
!GdZPFSkNndJpkFvaIZ:localhost,$R5DpP7tJiHJ8bH1-4vqO87d3gzTJKh5E01G4D6XeNYI,@lunabot:localhost,1736729164455,Hi from 'lunabot' (DM). You said: 'hello...',
!GdZPFSkNndJpkFvaIZ:localhost,$7olrjsfnLwU7bLVYACOOnmwgWkSpJpbwKKyZ_-ZxxV4,@evan:localhost,1736733347715,blended_malt: how have you been,
!GdZPFSkNndJpkFvaIZ:localhost,$jyM_X4P-ASsRtzxMceL7wgagctVWsINTlmIR-gi4jlc,@evan:localhost,1736734821661,lunabot: tell me something new,lunabot
!GdZPFSkNndJpkFvaIZ:localhost,$Eya5rbwuyGA6TeXbDGwVVZax9W4wJtBG6QUw77psBtk,@lunabot:localhost,1736734821707,Hello from 'lunabot' in a group chat! I see you mentioned me: lunabot: tell me something new...,
!GdZPFSkNndJpkFvaIZ:localhost,$VLtk4zpufrLYubZJYYxZTcnJ-2ddsr2ZyAnnK3eTun0,@evan:localhost,1736734828805,blended_malt: what's your name,
!GdZPFSkNndJpkFvaIZ:localhost,$hTejFrFSUTT2N-ezsyvbAE72bSD0Mhh-3mNZaLADXjE,@evan:localhost,1736735621578,blended_malt: please assist,
!GdZPFSkNndJpkFvaIZ:localhost,$4jdu5e8gyZHH0rF-BRVEF-zbg5UYioeq-1HTGmtgIyE,@evan:localhost,1736735630221,@lunabot?,
!GdZPFSkNndJpkFvaIZ:localhost,$Jt4GGRlJQpFqw-IUBMVM_mxCttr8NWati7wa0As8evo,@evan:localhost,1736735633214,lunabot: ?,
!UmMRFBIczWWQPHigCQ:localhost,$hopN_lHpMskWylbp9KGt7egiYEcTMzYyrrr613kfmsE,@evan:localhost,1736735651592,hi there,
